Date,T_Avg,RR
1/1/2019,28.123,11.068
2/1/2019,28.085,5.329
3/1/2019,27.665,8.787
4/1/2019,27.94,1.700
5/1/2019,27.227,0.897
6/1/2019,26.043,0.010
7/1/2019,25.779,0.100
8/1/2019,25.454,0.965
9/1/2019,25.883,0.873
10/1/2019,27.338,0.042
11/1/2019,28.41,0.123
12/1/2019,29.265,2.748
1/1/2020,28.61,5.276
2/1/2020,28.356,7.372
3/1/2020,28.027,9.148
4/1/2020,28.163,2.436
5/1/2020,27.77,4.203
6/1/2020,27.441,1.892
7/1/2020,26.833,0.242
8/1/2020,26.529,0.013
9/1/2020,27.494,0.050
10/1/2020,27.74,2.161
11/1/2020,28.423,3.148
12/1/2020,27.77,10.874
