Date,T_Avg,RR
1/1/2019,27.610,6.070
2/1/2019,27.639,5.136
3/1/2019,27.429,4.180
4/1/2019,27.563,4.059
5/1/2019,27.287,0.020
6/1/2019,25.937,0.000
7/1/2019,25.110,0.000
8/1/2019,25.513,0.000
9/1/2019,26.372,0.070
10/1/2019,28.219,0.000
11/1/2019,29.593,1.753
12/1/2019,28.732,6.510
1/1/2020,28.668,2.600
2/1/2020,28.024,11.300
3/1/2020,27.852,6.947
4/1/2020,28.023,1.133
5/1/2020,27.961,1.129
6/1/2020,27.180,0.007
7/1/2020,26.397,0.129
8/1/2020,26.671,0.000
9/1/2020,28.024,0.000
10/1/2020,28.665,3.662
11/1/2020,29.260,1.273
12/1/2020,27.569,7.232
